results.address_1,results.city,results.classification,results.code_info,results.country,results.distribution_pattern,event_id,results.initial_firm_notification,results.product_description,results.postal_code,results.product_quantity,results.product_type,results.reason_for_recall,results.recall_number,results.recalling_firm,results.state,results.status,results.voluntary_mandated,recall_initiation_date,report_date,center_classification_date,termination_date
295 W Lundgren Mill Dr,Sisters,Class III,"Lot numbers: 2401192904.  B000975-3.5-0711.  B000975-3.5-0712.  B001010-3.5-0208.   B001010-3.5-0211.   B001010-3.5-0212.   B000979-2L-0927.  B000979-2L-0928 .    Best By dates are 10/2020, 12/2020, and 06/2021.",United States,distributed nationwide and in Canada.,82954,Letter,"Performance Mushrooms product is dried mushroom blend of 4 different mushroom mycelial biomass powders cultured on certified organic oats, brand Laird Superfood, uses as Beverage Booster and Functional Fuel Supplement.    Product is packaged in 3.17 oz (90 gram) stand up with zipper, heat-sealed pouches. There are 6 pouches per case or 24 pouches cases.",97759,"estimated 24,862 pouches",Food,The product  is incorrectly labeled with 14 mg of Iron and 78% DV when the actual amount is 14 mcg of Iron and 0% DV.,F-1456-2019,LAIRD SUPERFOOD INC,OR,Terminated,Voluntary: Firm initiated,2019-05-24,2019-06-19,2019-06-12,2019-10-23
2959 Salinas Hwy,Monterey,Class I,"Product codes beginning with B - Best by Dates of December 23, 2021 through January 8, 2022.",United States,"Canada: AB, BC, NB, ON, QC, Sk; United States: AL, AZ, CA, CO, CT, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NV, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA, WI",89381,Telephone,Marketside 12oz Classic Salad  UPC:6-81131-32894-4  SKU: 3107,93940-6400,,Food,Harvest equipment used in harvesting raw iceberg lettuce was tested by  Dole and found to contain Listeria monocytogenes.,F-0757-2022,Dole Fresh Vegetables Inc,CA,Terminated,Voluntary: Firm initiated,2022-01-06,2022-03-02,2022-02-22,2022-03-22
2959 Salinas Hwy,Monterey,Class I,"Product codes beginning with W - Best by Dates of December 22, 2021 through January 9, 2022.",United States,"Canada: AB, BC, NB, ON, QC, Sk; United States: AL, AZ, CA, CO, CT, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NV, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA, WI",89381,Telephone,Dole 9.8 oz  Chopped Teriyaki Pineapple Kit   UPC: 0-71430-00100-4  SKU: 791  Dole 9.8 oz  Chopped Teriyaki Pineapple Kit / Teriyaki A L'ananas  UPC: ¿0-71430-00182-0  SKU 1014,93940-6400,"OH/CA Total Distributed Combined: 578,243 cases",Food,Harvest equipment used in harvesting raw iceberg lettuce was tested by  Dole and found to contain Listeria monocytogenes.,F-0777-2022,Dole Fresh Vegetables Inc,CA,Terminated,Voluntary: Firm initiated,2022-01-06,2022-03-02,2022-02-22,2022-03-22
2959 Salinas Hwy,Monterey,Class I,Bag Code                        Expiration Date  B2311020  9/4/2014   B23110211 9/4/2014  B2311022  9/4/2014  B2311023  9/4/2014  B2311024  9/4/2014  B2311025  9/4/2014.,United States,"One distribution center in AZ and retail stores in AZ, NM and NV.",69128,Telephone,"Dole Baby Spinach:  Thoroughly Washed, Preservative Free, All natural  Net W.t6 oz. bag;  SKU 323  Perishable, keep refrigerated.  UPC 071430009642;    Dole Fresh Vegetables  Monterey, CA  93940",93940-6400,150 cartons (6 x 6 oz bags per carton),Food,Green Walnuts from a tree dropped into spinach as it was being tractored away from the harvested field. Walnuts were discovered on the Dole spinach processing line,F-2441-2014,Dole Fresh Vegetables Inc,CA,Terminated,Voluntary: Firm initiated,2014-08-27,2014-09-24,2014-09-15,2014-09-17
3 Chris Ct Ste J,Dayton,Class I,no code on bag,United States,"NY, PA",72268,Telephone,"Basma 3 Chris Court Dayton, New Jersey 08810  Tel.:7323559600 Fax: 7323559644  16 oz package    This golden raisin product is labeled in a foreign language.",08810-1648,5cases of 1 lb  pk;,Food,Product contains undeclared sulfites.,F-0285-2016,UNITED TRADING CENTER INC,NJ,Terminated,Voluntary: Firm initiated,2015-09-15,2015-12-30,2015-12-23,2016-04-28
3 Lakes Dr,Northfield,Class II,Plant Code: 06-245;   Code Dates: 09 MAY 2014 through 23 JUL 2014,United States,"US: Nationwide (AL, AR, AZ, CA, CO, CT, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA, WI, WY) + Puerto Rico",68625,Letter,"Low fat cottage cheese, 2% milkfat, sold under the Breakstone's brand, Daily Chef brand, Knudsen brand, or Kraft brand packaged in a tray of 4 plastic containers each with a net weight of 4 oz. (113 g), a tray of 8 plastic containers each with a net weight of 4 oz. (113 g), a plastic container with a net weight of 8 oz. (227 g), a plastic container with a net weight of 16 oz. (1 lb.) 453 g, a plastic container with a net weight of 24 oz. (1.5 lb.) 680 g, a plastic container with a net weight of 32 oz. (2 lb.) 907 g, or a 3 lb. plastic container with a net weight of 48 oz. (3 lb.) 1.36 kg.",60093-2753,"1) Breakstone's: 1,039,484 trays; 2) Daily Chef: 194,526 containers; 3) Knudsen: 2,313,098 containers and trays; 4) Kraft: 613,138 containers",Food,"Kraft Foods is voluntarily recalling 18 SKUs of Knudsen Cottage Cheese, nine SKUs of Breakstone's Cottage Cheese, five SKUs of Simply Kraft Cottage Cheese and two SKUs of Daily Chef Cottage Cheese produced at our Tulare, CA manufacturing facility. Some ingredients used in these products were not stored in accordance with Kraft's temperature standards. While unlikely, this could create conditions t",F-2208-2014,Kraft Foods Group,IL,Terminated,Voluntary: Firm initiated,2014-05-16,2014-07-30,2014-07-24,2016-06-22
3 Lakes Dr,Northfield,Class II,best when used by code date: 11 DEC 2016 Gr02CT762 and 12 DEC 2016 GR02CT762.,United States,The firm distributed the product to 132 domestic firms. Please see the attached spreadsheet for a list of all consignees.,72950,Letter,Kool-Aid Jammers Tropical Punch packaged in a red blue and purple box with white lettering.,60093-2753,"20, 298 cases, 4 boxes/case, 10 drinks/box.",Food,Possible presence of glass fragments in CapriSun and Kool-Aid Jammers.,F-1396-2016,Kraft Heinz Foods,IL,Terminated,Voluntary: Firm initiated,2015-12-29,2016-06-01,2016-05-20,2018-02-21
3 Lakes Dr,Northfield,Class III,"1) 12 oz. packages of singles; UPC (Retail Package): 021000604647; Code Dates: 20 FEB 2015, 21 FEB 2015; UPC Code (Case): 210006046400;     2) 16 oz. packages of singles; UPC (Retail Package): 021000615261; Code Date: 20 FEB 2015; UPC Code (Case): 210006145000;     3) 16 oz. packages of singles; UPC (Retail Package): 021000615261; Code Date: 20 FEB 2015; UPC Code (Case): 210006152600;     4) 4 lb. cartons of singles; UPC (Retail Package): 021000633609; Code Date: 20 FEB 2015; UPC Code (Case): 210006255900",United States,"US: Nationwide (AL, AR, CA, CA, FL, GA, IL, IN, KS, MI, NC, NJ, OH, OK, TN, TX, VA)",69142,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Individually 2/3 oz. slices of American cheese product individually wrapped in transparent plastic an packaged in 12 oz. and 16 oz.. packages, and 4 lb. cartons under the Kraft brand name.     Cases of 12 oz. packages include 48 packages per case.     Cases of 16 oz. packages include either 12 or 36 packages per case.     Cases of 4 lb. cartons include 8 cartons per case.",60093-2753,"7,691 cases",Food,"Kraft Foods Group is voluntarily recalling 7,691 cases of select varieties of regular Kraft American Singles Pasteurized Prepared Cheese Product. A supplier did not store an ingredient used in this product in accordance with Kraft's temperature standards.",F-0022-2015,Kraft Heinz Foods,IL,Terminated,Voluntary: Firm initiated,2014-08-29,2014-10-22,2014-10-10,2016-08-08
30 Vandam St Fl 3,New York,Class II,Best By Dates ranging from 5/29/24 to 9/17/25 UPC:89903900283,United States,nationwide,94392,Other,Cream Cheese Stuffed Plain Mini Bagels,10013-1253,"Plain Mini Bagels 4,550 cases",Food,Contains undeclared gluten,F-1427-2024,FEEL GOOD FOODS INC,NY,Terminated,Voluntary: Firm initiated,2024-04-10,2024-07-03,2024-06-27,2024-07-01
30003 Bainbridge Rd,Solon,Class II,"Production codes  and Best Before dates:    1.  5351595916, 5353595915, 5353595916, Best Before March 2017  6004595916,  Best Before:  April 2017    2.  5353595913, Best Before:  March 2017.  6011595513, Best Before:  April 2017.      3.  5349595914, Best Before:  Jan 2017.    4.  5346595916, Best Before:  March 2017",United States,nationwide,73500,Telephone,"Stouffer's vegetable lasagna.  Keep Frozen. Sold in the following sizes and UPC:  1.  Party Size  Net Wt. 96 oz (6 lb) 2.72kg  UPC 13800-19002.  2.  Net Wt. 10 1/2 oz (297g)  UPC 13800-10323.  3.  Family Size Net Wt. 37 1/2 oz (2 lbs. 5 1/2 oz) 1.06 kg, UPC 13800-55510.  4.  Food Service Professional Product Net Wt. 6 lbs (2.72 kg)  UPC 13800-30322.(this product is not available in retail stores)",44139-2205,"28,785 cases",Food,"Nestle is recalling a limited number of DiGiorno, Lean Cuisine, and Stouffer's products due to the potential presence of glass pieces.",F-0792-2016,Nestle USA,OH,Terminated,Voluntary: Firm initiated,2016-03-10,2016-03-30,2016-03-23,2020-03-19
3005 County Line Rd,Cullen,Class II,100923,United States,"The recall product was distributed to the following states : MD, VA",93957,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Fresh Local , Country Corner Dairy,  YELLOW COLBY CHEESE, INGREDIENTS: Pasteurized Milk, Salt , Rennet, Calcium Chloride,  Cheese Culture, Contains Milk. Product comes in various sizes, 6 oz. up to 42 lbs. and is in vacuum sealed plastic packaging.",23934-2041,6605 lbs. total,Food,Product was made with a lack of proper pasteurization.,F-0913-2024,"Country Corner Dairy, LLC",VA,Terminated,Voluntary: Firm initiated,2024-02-01,2024-02-28,2024-02-22,2024-03-25
301 Salem Rd,Jeffersonville,Class II,Best By 3/3/2023 3/4/2023 23-MR-03,United States,Nationwide US and Canada,90568,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Enjoy Life Chewy Bars   Caramel Blondie (Chocolate Chip and Caramel), 5.75 oz (165g) UPC 819597011258 and 819597011333",47130,"89,736 total cases",Food,Due to the potential presence of a foreign material (hard plastic pieces) in baked good products.,F-1568-2022,"Enjoy Life Natural Brands, LLC",IN,Terminated,Voluntary: Firm initiated,2022-06-30,2022-08-31,2022-08-19,2024-08-02
3021 78th St,Norway,Class I,lot 4290 use by Oct 2017,United States,"Product was distributed nationwide, as well as to Puerto Rico and The Virgin Islands.  Foreign distribution was made to Canada.  There was also military distribution.",70726,Press Release,"Frontier Natural Products Co-Op Organic Mama Garlic packaged in a cardboard canister with paper label Net  Wt. 5 oz (141 g), UPC 0 89836 18506 8.  The responsible name on the package is Frontier Norway, IA.",52318-9520,1374 canisters,Food,Product may be contaminated with Salmonella.,F-2370-2015,Frontier Natural Products Co-op,IA,Terminated,Voluntary: Firm initiated,2015-03-16,2015-06-10,2015-06-02,2017-03-30
304 Commerce St,New Oxford,Class II,"Use By: 03/14/216, Lot # 430",United States,MD  NC  NJ  NY  PA  VA,73562,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Blue Ridge Farms Macaroni Salad; 05021  Net Weight: 1 X 10 LB., Keep Refrigerated; Use by: 03/14/16; Lot # 430;   Packed by Winter Gardens Quality Foods, Inc, New Oxford, PA 17350",17350-1723,44,Food,The supplier of the salad oil used in the above product(s) has voluntarily recalled this raw material due to the potential presence of foreign material.  Winter Gardens is continuing this voluntary recall through the supply chain.,F-1050-2016,"Winter Gardens Quality Foods, Inc.",PA,Terminated,Voluntary: Firm initiated,2016-02-15,2016-04-20,2016-04-08,2016-06-09
3040 Ualena St,Honolulu,Class II,all manufacturing codes - i.e.05/02/19,United States,HI only - island of Oahu,82877,Letter,"Regal's Fundraising Cookies: Cornflake flavor.  Net Weight 12 oz. (340 grams).    All varieties have the same ingredient list:  Flour, Sugar, Cotton Seed Oil, Butter Blend, Chocolate Chips, Salted Butter, Vanilla Extract, Salt, Baking Soda.    Regal Foods,  Honolulu, HI  www.regalfoodsusa.com",96819-1984,,Food,"FDA inspection found that allergen sub ingredients are not declared on the label - wheat, soy, milk.",F-1459-2019,Regal Food Inc./dba The Pizza Shop,HI,Terminated,Voluntary: Firm initiated,2019-05-15,2019-06-26,2019-06-14,2019-11-19
30520 Se 84th Street,Preston,Class II,"Sparkling ICE Cherry Limeade Lot Codes on Bottles:    8064-63  8065-63  8079-63  8080-63  8087-63  8088-63  8089-63  8112-63  8113-63  8114-63  8118-63  8119-63  8126-63  8131-63  8132-63  8144-63  8145-63  8146-63  8165-63  8166-63  8167-63    Sparkling ICE Cherry Limeade Expiration Dates found on Bottles:    12/5/2018  12/6/2018  12/20/2018  12/21/2018  12/28/2018  12/29/2018  12/30/2018  1/22/2019  1/23/2019  1/24/2019  1/28/2019  1/29/2019  2/6/2019  2/11/2019  2/12/2019  2/24/2019  2/25/2019  2/26/2019  3/14/2019  3/15/2019  3/16/2019      The affected Variety Packs can be tracked by the UPC codes, Expiration dates and Location Codes (19, 35, 71, and 75) and they are printed on the case wrapper.  Location Codes correspond to the facility that re-packaged (no bottling) the bottles into variety packs.  The Location Codes break down as follows:     75 -Texas  71 - Georgia  35 - North Carolina  19 - Illinois    The following codes are internal warehouse inventory tracking codes for affected Variety Packs (these codes are NOT printed on bottles or on variety case wrappers):    8085-8063-19  8085-8064-75  8085-8065-75    8086-8062-19  8086-8063-19  8086-8064-19  8086-8064-75  8086-8065-19    8087-8064-19  8087-8073-75    8089-8066-19  8089-8073-19    8092-8072-75  8092-8073-75    8093-8072-75  8093-8073-19    8095-8072-19  8095-8073-19  8095-8073-75    8096-8072-71  8096-8073-71  8096-8073-75    8097-8073-75    8099-8072-19  8099-8073-19    8100-8072-19  8100-8072-75  8100-8073-19    8101-8072-75  8101-8073-75    8102-8073-19  8102-8073-75  8102-8074-19  8102-8086-19    8103-8071-71  8103-8073-75  8103-8076-71    8107-8065-19  8107-8072-19  8107-8072-71  8107-8073-19  8107-8076-71    8108-8073-19    8109-8073-75  8109-8077-71  8109-8080-71  8109-8081-71  8109-8084-71  8109-8085-71  8109-8089-71    8110-8065-75  8110-8068-75  8110-8073-75  8110-8083-71  8110-8084-71    8113-8072-71  8113-8076-75  8113-8080-71  8113-8083-71    8114-8065-19  8114-8073-19  8114-8073-75  8114-8076-75    8115-8065-19  8115-8068-19  8115-8069-19    8117-8068-75    8118-8081-71    8120-8068-75  8120-8080-19    8121-8080-19    8127-8076-75    8128-8072-19  8128-8073-19    8131-8074-19    8132-8073-75  8132-8076-75    8134-8073-19  8134-8074-19  8134-8075-19  8134-8076-19  8134-8076-75  8134-8096-75    8135-8075-19  8135-8076-19    8136-8076-75    8137-8076-75  8137-8096-75    8138-8076-75  8138-8117-75    8139-8114-75    8141-8073-19  8141-8076-19  8141-8114-19  8141-8114-75    8142-8114-75    8143-8069-19  8143-8092-19  8143-8093-19  8143-8094-19    8144-8073-75  8144-8076-75    8149-8094-19    8150-8075-19  8150-8076-19  8150-8086-19    8151-8114-75  8151-8115-75    8152-8090-75  8152-8112-75  8152-8114-19  8152-8115-75  8152-8119-75    8155-8073-19  8155-8076-19  8155-8080-35  8155-8082-35  8155-8084-19  8155-8090-75  8155-8103-19  8155-8104-19    8156-8112-75  8156-8113-75    8159-8119-75    8160-8101-75  8160-8102-75    8162-8073-35  8162-8085-35  8162-8086-35  8162-8094-35  8162-8102-75    8163-8119-75    8164-8076-19  8164-8119-75    8165-8119-19  8165-8119-75",United States,"Distributed in AL, AR, AZ, CA, CO, CT, FL, GA, HI, IA, IL, IN, KS, KY, LA, ME, MI, MN, MO, MS, NC, ND, NE, NJ, NM, NV, OH, OK, SC, SD, TN, TX, UT, VA, WA, and WI.",80367,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Sparkling ICE Cherry Limeade Naturally Flavored Sparking Water, packaged in a PET bottles with a plastic cap, Net Wt. 17 ounces (502.8 ml).    UPC code on bottle: 0 16571 95084 2.  UPC on Single Pack Wrapper (1 flavor/12 bottles): 016571953126  UPC on Single Pack Wrapper (1 flavor/24 bottles): NONE    ******************************************************************************************  Sparkling ICE Cherry Limeade is also assembled and sold in Variety Packs with other flavors (those other flavors are not affected by this recall).      The UPCs on those Variety Packs are:    016571953614 (4 flavors/6 bottles of Sparkling ICE Cherry Limeade/24 bottles total).    016571950927 (4 flavors/3 bottles of Sparkling ICE Cherry Limeade/12 bottles total).    016571951283 (3 flavors/6 bottles of Sparkling ICE Cherry Limeade/18 bottles total .    016571950866 (UPC on Pallets of variety packs).",98050,"684,977 cases (single pack = 214,311 cases and variety pack = 470,666 cases)",Food,"Sparkling ICE Cherry Limeade, 17 oz. bottles, is recalled after the firm received a small number of customer complaints that reported an off-taste and off-odor of the product.",F-1622-2018,Talking Rain Beverage Co Inc,WA,Terminated,Voluntary: Firm initiated,2018-06-22,2018-07-18,2018-07-12,2019-07-08
309 Industrial Ave Ne,Albuquerque,Class II,All products sold between 4/21/13 to 10/21/14,United States,"NM, CO, WA, KS, LA, NY, TX, AZ, NC, OH; potentially nationwide; Australia (relabeled by the distributor in Australia).  No govt/VA/military",69599,Telephone,"Los Chileros de nuevo mexico gourmet southwestern cuisine Santa Fe Chile Seasoning,  4.5oz (127.6 grams), Los Chileros de Nuevo Mexico, PO Box 6215, Santa Fe, NM 87502",87107-2232,1977,Food,"Los Chileros De Nuevo Mexico is conducting a field action for Blue Corn Waffle & Pancake Mix (BWPB), Sopaipilla Mix (SOPP), Santa Fe Chile Seasoning (SFCS), Green Chile Blue Cornbread (GCBB), Cream of Green Chile Chicken Soup (GCCS), Green Chile Stew with Tortilla Mix (GCSB) and Carne Adovada with Sopaipilla Mix (CADB) due to undeclared wheat.",F-0567-2015,"Los Chileros De Nuevo Mexico, LTD",NM,Terminated,Voluntary: Firm initiated,2014-10-21,2014-12-03,2014-11-25,2017-05-08
310 S Park Dr,Saint Marys,Class II,"Lot Numbers: 3128, 3129, 3130, 3131, 3135, 3136, 3137, 3138, 3139, 3140, 3142, 3143, 3144, 3145, 3146, 3150, 3151, 3152, 3153, 3156, 3157, 3158, 3159, 3160, 3163, 3164, 3165, 3166, 3167, 3170, 3171, 3172, 3173, 3174, 3177, 3178, 3179, 3180, 3181, 3186, 3187, 3188, 3191, 3192, 3193, 3194, 3195, 3196, 3198, 3199, 3200, 3201, 3202, 3205, 3206, 3207, 3212, 3213, 3214, 3215, 3216, 3219, 3220, 3221, 3222, 3223, 3226, 3227, 3228, 3229, 3233, 3234, 3235, 3236, 3240, 3241, 3242, 3243, 3248, 3249, 3250, 3254, 3255, 3256, 3257, 3262, 3269, 3270, 3271, 3276, 3277, 3282, 3283, 3284, 3285, 3286, 3289, 3290, 3291, 3292, 3296, 3297, 3298, 3299, 3303, 3305, 3310, 3312, 3313, 3317, 3318, 3319, 3320, 3332, 3333, 3334, 3339, 3340, 3341, 3345, 3346, 3348, 3348, 3352, 3353, 3354, 3355, 3361, 3362, 4002, 4003, 4004, 4008, 4009, 4010, 4011, 4015, 4016, 4017, 4022, 4024, 4037, 4043, 4048, 4023, 4024, 4036, 4044, 4057, 4059, 4064, 4065, 4066, 4071, 4072, 4078, 4079, 4081, 4085, 4086, 4087, 4088, 4092, 4101, 4103, 4106, 4114, 4116, 4120, 4122, 4127, 4128, 4137, 4141, 4155, 4156  Best By Dates: 2/2/2024, 2/3/2024, 2/4/2024, 2/5/2024, 2/9/2024, 2/10/2024, 2/11/2024, 2/12/2024, 2/12/2024, 2/14/2024, 2/16/2024, 2/17/2024, 2/18/2024, 20/19/2024, 2/20/2024, 2/24/2024, 2/25/2024, 2/26/2024, 2/27/2024, 3/1/2024, 3/2/2024, 3/3/2024, 3/4/2024, 3/5/2024, 3/6/2024, 3/7/2024, 3/8/2024, 3/9/2024, 3/10/2024, 3/11/2024, 3/12/2024, 3/15/2024, 3/16/2024, 3/17/2024, 3/18/2024, 3/19/2024, 3/20/2024, 3/21/2024, 3/22/2024, 3/23/2024, 3/24/2024, 3/31/2024, 4/1/2024, 4/5/2024, 4/6/2024, 4/7/2024, 4/8/2024, 4/10/2024, 4/11/2024, 4/12/2024, 4/13/2024, 4/14/2024, 4/15/2024, 4/19/2024, 4/20/2024, 4/21/2024, 4/26/2024, 4/27/2024, 4/28/2024, 4/29/2024, 4/30/2024, 5/3/2024, 5/4/2024, 5/5/2024, 5/6/2024, 5/7/2024, 5/8/2024, 5/11/2024, 5/12/2024, 5/13/2024, 5/17/2024, 5/19/2024, 5/20/2024, 6/6/2024, 6/7/2024, 6/8/2024, 6/14/2024, 6/15/2024, 6/22/2024, 6/23/2024, 6/29/2024, 6/30/2024, 7/6/2024, 7/7/2024, 7/8/2024, 7/9/2024, 7/12/2024, 7/13/2024, 7/14/2024, 7/15/2024, 7/19/2024, 7/20/2024, 7/21/2024, 7/22/2024, 7/24/2024, 7/25/2024, 7/26/2024, 8/4/2024, 8/5/2024, 8/10/2024, 8/12/2024, 8/14/2024, 8/16/2024, 8/17/2024, 8/22/2024, 8/25/2024, 8/26/2024, 8/28/2024, 8/29/2024, 8/30/2024, 8/31/2024, 9/1/2024, 9/5/2024, 9/6/2024, 9/7/2024, 9/13/2024, 9/14/2024, 9/16/2024, 9/22/2024, 9/28/2024, 9/29/2024, 9/30/2024, 10/3/2024, 10/5/2024, 10/9/2024, 10/11/2024, 10/12/2024, 10/13/2024, 10/17/2024, 10/18/2024, 10/19/2024, 10/20/2024, 10/23/2024, 10/24/2024, 10/25/2024, 10/26/2024, 11/1/2024, 11/2/2024, 11/5/2024, 11/6/2024, 11/8/2024, 11/9/2024, 11/15/2024, 11/22/2024, 11/26/2024, 11/28/2024, 11/30/2024, 12/4/2024, 12/6/2024, 12/7/2024, 12/11/2024, 12/13/2024, 12/14/2024, 12/16/2024, 12/18/2024, 12/19/2024, 12/20/2024, 12/21/2024, 12/27/2024, 12/28/2024, 1/1/2025, 1/2/2025, 1/4/2025, 1/5/2025, 1/8/2025, 1/10/2025, 1/11/2025, 1/12/2025, 1/15/2025, 1/18/2025, 1/23/2025, 1/25/2025, 1/29/2025, 1/31/2025, 2/1/2025, 2/7/2025, 2/10/2025, 2/14/2025, 2/28/2025, 3/1/2025",United States,"Product distributed in Arkansas, California, Florida, Georgia, Indiana, Louisiana, Maryland, Missouri, New York, Ohio, Pennsylvania, Tennessee, Texas, Virginia",94789,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",(Item 551697) Wakefield Ham & Cheddar Pretzel Croissant,45885-9688,1323 cases,Food,Possibly contaminated with Listeria monocytogenes,F-1403-2024,Classic Delight LLC,OH,Terminated,Voluntary: Firm initiated,2024-06-10,2024-07-03,2024-06-24,2024-08-12
310 W Alondra Blvd,Gardena,Class I,Lot #040115-050616,United States,U.S. distribution nationwide.     No foreign distribution.,74243,Letter,Cafe Favorites  Oven Roasted Turkey Breast & Cheese Deli Flatz-IW  Code #C22348/22348,90248-2423,,Food,Potential Listeria monocytogenes contamination.,F-1894-2016,"Let's Do Lunch, Inc.",CA,Terminated,Voluntary: Firm initiated,2016-05-23,2016-08-17,2016-08-05,2017-05-31
310 W Alondra Blvd,Gardena,Class I,Lot #040115-050616,United States,U.S. distribution nationwide.     No foreign distribution.,74243,Letter,Integrated Food Service  Turkey Breast & Cheese Sandwich  on a Whole Grain French Roll  Code #C16001/160001,90248-2423,,Food,Potential Listeria monocytogenes contamination.,F-1892-2016,"Let's Do Lunch, Inc.",CA,Terminated,Voluntary: Firm initiated,2016-05-23,2016-08-17,2016-08-05,2017-05-31
3100 Canal St,Houston,Class I,Use By: 07/25/19 thru 8/20/19,United States,Nationwide throughout the US,83343,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",PitaPal Organic Cilantro Jalapeno Hummus  10 oz. UPC 851570003348 packaged in Plastic tub with clear lid with green rim.,77003-1602,24 cases,Food,Product has potential to be contaminated with Listeria monocytogenes,F-2199-2019,Pita Pal Foods LP,TX,Terminated,Voluntary: Firm initiated,2019-07-15,2019-09-25,2019-09-16,2020-04-13
3100 Canal St,Houston,Class I,Use By: 07/25/19 thru 9/18/19,United States,Nationwide throughout the US,83343,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",PitaPal Edamame Dip with Pretzels 4.1 oz. UPC 851351007091 packaged in Clear tub with clear lid with green rim.,77003-1602,36 cases,Food,Product has potential to be contaminated with Listeria monocytogenes,F-2209-2019,Pita Pal Foods LP,TX,Terminated,Voluntary: Firm initiated,2019-07-15,2019-09-25,2019-09-16,2020-04-13
3100 Canal St,Houston,Class I,Use By: 07/25/19 thru 9/18/19,United States,Nationwide throughout the US,83343,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",PitaPal Mezza Sundried Tomato Hummus  11 oz. UPC 851351007336 packaged in Plastic tub with clear lid with green rim.,77003-1602,24 cases,Food,Product has potential to be contaminated with Listeria monocytogenes,F-2192-2019,Pita Pal Foods LP,TX,Terminated,Voluntary: Firm initiated,2019-07-15,2019-09-25,2019-09-16,2020-04-13
3105 Columbia Ave NE,Minneapolis,Class II,Lot Numbers:  002180 - 061180,United States,"AK, GA, IA, IN, KY, MN, MO, ND, NH, NY, OH, TX, WI",79458,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Midwest Northern Nut Mendakota Mix.  Net Wt. 25 lbs.    Midwest Northern Inc., Minneapolis, MN  55118",55418-1810,"35,056 lbs.",Food,potential Allergen cross contact in oil used to roast various nuts and seeds products.,F-1082-2018,Midwest Northern Inc,MN,Terminated,Voluntary: Firm initiated,2017-03-07,2018-04-25,2018-04-16,2018-04-25
311 Bluff St,Sioux City,Class I,1. Best by date: 1/22/25 2. Best by date: 1/22/25,United States,Nationwide United States and Canada,94571,E-Mail,"1. Palmer Candy Drizzled Caramel Corn, Item 19271, Net Wt. 16/5oz tubs, UPC 77343 19271 2. Meijer Drizzled Caramel Popcorn Snack Bowl, Net Wt. 12oz, UPC 60236 18830, 8/12oz case",51103-5401,,Food,Potential salmonella contamination,F-1671-2024,Palmer & Company,IA,Terminated,Voluntary: Firm initiated,2024-05-03,2024-08-14,2024-08-06,2025-11-21
311 Bluff St,Sioux City,Class I,Best By Date 1/19/25,United States,Nationwide United States and Canada,94571,E-Mail,"Palmer Patriotic Munchy Medley, Net Wt 15oz, UPC 7723237060, 12/15oz case",51103-5401,,Food,Potential salmonella contamination,F-1663-2024,Palmer & Company,IA,Terminated,Voluntary: Firm initiated,2024-05-03,2024-08-14,2024-08-06,2025-11-21
31128 San Clemente Street,Hayward,Class II,Case Code sell by date 011916  Package sell by date: JAN192016,United States,nationwide,70817,Press Release,"Rising Moon Organics Spinach Florentine Ravioli;  Net Wt 8 oz. (227g)  UPC 7 85030 22770 1    Distributed by Rising Moon Organics  313 Iron Horse Way  Providence, RI 02908",94544,1260 cases (6/8 oz. packages per case),Food,Firm was notified by supplier of spinach and used in manufacturing showed the presence of Listeria Monocytogenes and was shipped erroneously.,F-2018-2015,"Carmel Food Group, Inc.",CA,Terminated,Voluntary: Firm initiated,2015-03-23,2015-04-29,2015-04-20,2016-07-20
